instance family sat lad snd vf2 sequential no-backjumping no-all-diff no-supplementals full-all-diff threaded
F.04 1 1 388 74472 1e8 2436 2266 2652 39 2862 704
C.18 1 1 492 307086 1e8 1188 1029 973 166 7159 162
A.04 1 1 012 2788 62 44 43 45 5 125 14
C.02 1 1 279 377954 1e8 1078 1087 1043 172 7809 162
E.01 1 0 069 38260 1e8 2750 2726 2650 41 2553 731
F.20 1 1 5769 72348 1e8 1869 2141 2713544 62 4486 657
B.20 1 1 117 104341 1e8 380 387 365 65 1856 81
C.08 1 1 303 410249 1e8 1017 1005 972 170 6943 184
B.11 1 1 286 84542 1e8 368 371 372 60 2913 77
C.10 1 1 591 280287 1e8 1435 1167 1168 179 8454 164
B.06 1 1 105 57795 1e8 365 387 347 61 1883 74
F.08 1 1 2076 68790 1e8 2107 2086 8155643 32 3048 892
B.07 1 1 113 72485 1e8 396 393 390 61 1928 75
E.04 1 0 030 51073 1e8 2457 2412 2433 35 2350 701
C.01 1 1 268 267386 1e8 1027 1027 978 171 7438 160
B.10 1 1 109 64789 1e8 500 439 487 59 1812 74
A.15 1 1 020 3193 1346673 39 39 39 5 116 13
C.19 1 1 324 451946 1e8 1041 1105 1061 167 7387 163
B.02 1 1 213 92055 1e8 359 377 343 63 1850 71
E.06 1 0 027 53900 1e8 2587 2553 2567 42 2488 670
E.18 1 0 029 41143 1e8 1399 1374 1889 18 1346 492
C.20 1 1 538 355301 1e8 1044 1045 998 166 7560 171
F.02 1 1 343 89930 1e8 1830 1814 1840 23 2108 795
F.11 1 1 157 74568 1e8 2233 2203 2248 39 2572 764
F.12 1 1 237 65849 1e8 2362 2336 2401 39 2602 711
E.05 1 0 097 60671 1e8 2010 1981 2018 25 1953 697
B.16 1 1 106 70095 1e8 398 392 377 61 1960 75
A.08 1 1 011 3735 2116 40 33 37 5 106 13
C.14 1 1 688 258285 1e8 1086 1084 1092 169 7631 163
F.16 1 1 220 69731 1e8 1798 1788 1800 24 2089 878
F.06 1 1 1043 69453 1e8 1989 1710 6003 27 2492 675
A.03 1 1 023 3684 27572 43 42 42 5 117 11
E.19 1 0 014 31441 1e8 1648 1485 1467 17 1409 579
C.15 1 1 277 408090 1e8 1246 1264 1013 166 7439 163
A.16 1 1 021 3723 606103 45 49 46 6 130 13
B.14 1 1 188 128921 1e8 375 376 360 64 1812 72
A.02 1 1 014 2771 536 40 40 43 7 112 13
F.14 1 1 180 62415 1e8 1462 1441 1452 34 2382 624
F.05 1 1 284 78007 1e8 1644 1624 1639 23 1922 711
B.09 1 1 197 80908 1e8 379 380 362 62 1952 71
A.01 1 1 009 2721 1816 44 42 43 5 117 13
C.05 1 1 299 414599 1e8 1400 1026 993 166 8081 164
B.01 1 1 106 61171 1e8 431 393 340 92 1810 75
A.09 1 1 011 3202 69939 37 37 36 5 109 13
A.07 1 1 012 2921 3638 34 34 35 5 100 14
F.03 1 1 173 75113 1e8 1563 1570 1550 22 2566 638
E.12 1 0 117 51704 1e8 1928 1899 1934 21 1989 730
C.06 1 1 427 434592 1e8 1331 1097 1044 255 10071 163
C.09 1 1 289 440969 1e8 1078 993 923 239 7578 161
B.17 1 1 102 73096 1e8 378 483 362 62 1947 75
C.07 1 1 524 492767 1e8 1183 1147 1032 171 7105 161
E.09 1 0 126 55079 1e8 1824 1797 1828 20 1799 769
E.17 1 0 010 58261 1e8 1734 1706 1736 21 1702 535
C.11 1 1 614 869704 1e8 1052 1047 1012 167 7123 165
F.10 1 0 005 53144 153772 2595 2551 2613 38 2514 802
A.17 1 1 022 2782 15401 41 40 39 5 183 12
B.15 1 1 108 60588 1e8 381 377 353 60 1911 73
E.03 1 0 038 35085 1e8 2246 2186 2360 36 2160 553
F.19 1 1 231 73916 1e8 1486 1477 1492 26 1908 614
A.12 1 1 010 2366 1131 40 38 38 5 113 14
B.08 1 1 103 69193 1e8 349 350 333 59 1744 70
F.17 1 1 585 68473 1e8 2708 2764 2454 41 2752 690
C.04 1 1 322 408518 1e8 1090 1084 1039 168 7712 166
B.19 1 1 177 87228 1e8 365 366 363 60 2900 75
C.16 1 1 352 402335 1e8 1023 1027 980 166 7288 158
C.17 1 1 490 289299 1e8 1012 1018 969 167 9029 161
E.08 1 0 054 49469 1e8 1854 1675 1706 31 2230 536
F.13 1 1 1960 61518 1e8 1845 1816 417864 31 3815 697
A.20 1 1 010 4574 196453 37 40 45 5 114 13
E.02 1 0 009 52718 1e8 2741 2736 2736 41 2668 589
E.16 1 0 023 53610 1e8 1943 2173 1963 29 2151 707
B.12 1 1 194 106246 1e8 377 381 362 62 1913 74
F.09 1 1 757 75851 1e8 1802 1779 1842 26 2566 737
A.10 1 1 015 2820 15925 48 65 40 8 117 13
F.18 1 1 273 80579 1e8 2931 2790 2633 42 2880 922
E.10 1 1 155 59918 1e8 1550 1529 1544 22 1798 692
A.06 1 1 030 3811 6710 45 42 42 5 126 12
E.15 1 0 072 54537 1e8 3808 3792 3617 67 3235 684
E.07 1 0 002 44721 2903 3357 3167 3284 58 3106 593
E.11 1 0 019 43588 1e8 1530 1563 1540 21 1480 441
B.03 1 1 188 66268 1e8 394 396 391 61 2026 77
B.18 1 1 234 79231 1e8 384 354 348 81 1817 70
C.03 1 1 268 280634 1e8 1010 1003 982 166 7687 160
A.18 1 1 014 3758 2647 40 39 40 5 118 13
F.15 1 1 172 66531 1e8 1958 2089 1955 35 2363 572
A.19 1 1 018 3901 657 53 42 42 5 197 13
C.12 1 1 335 610992 1e8 998 1002 958 173 10278 172
B.05 1 1 254 140147 1e8 359 363 417 61 1739 74
A.13 1 1 012 2983 9483 37 38 37 7 104 12
A.05 1 1 010 2600 10702 41 43 44 7 110 12
F.01 1 1 147 58286 1e8 2078 1875 1916 34 2102 550
E.20 1 0 014 51094 1e8 3269 3169 3236 59 3090 672
B.13 1 1 110 71410 1e8 351 345 325 60 2010 76
A.14 1 1 040 3010 1e8 46 45 47 5 132 14
B.04 1 1 096 88151 1e8 372 520 549 81 1924 76
C.13 1 1 697 304466 1e8 1215 1110 1052 174 7691 163
F.07 1 1 174 71324 1e8 1534 1520 1535 22 1897 594
E.13 1 0 017 57135 1e8 2828 3127 2879 43 2747 782
E.14 1 0 113 44473 1e8 1746 1704 1736 22 1668 542
A.11 1 1 010 3040 2087 39 38 38 5 110 12
si6_r005_m400.07 7 1 113124 59752 1e8 2866 3094 2778 959 535173 304
si6_r005_m400.00 7 1 280898 93229 1e8 2954 2587 2576 810 227193 382
si6_r005_m400.01 7 1 230748 135419 1e8 2899 2867 2828 600 187468 264
si6_r005_m400.02 7 1 16066 69163 1e8 2354 2362 2501 248 166945 302
si6_r005_m400.04 7 1 6654 22129 1e8 2385 2729 2544 454 110810 288
si6_r005_m400.05 7 1 343026 181624 1e8 4054 4018 3706 2660 1438238 503
si6_r005_m400.09 7 1 8066 24830 1e8 2113 2186 2112 56 3139 237
si6_r005_m400.03 7 1 550706 123700 1e8 2866 2845 3320 730 316574 386
si6_r005_m400.06 7 1 6288 30294 1e8 2280 2405 2310 154 87585 256
si6_r005_m400.08 7 1 119685 103458 1e8 2981 2966 3040 908 576127 459
