instance sat family density lad ttvbbjdpd32g vbbjdpd vbbjdpdnosup vf2 abscon snd
F.04 1 1 270 388.940000 704 2436 39 100000000 14202.000 74472.000
C.18 1 1 900 492.925000 162 1188 166 100000000 57342.000 307086.000
A.04 1 1 180 12.998000 14 44 5 58 1635.000 2788.000
C.02 1 1 900 279.957000 162 1078 172 100000000 63904.000 377954.000
E.01 0 1 270 69.989000 731 2750 41 100000000 2365.000 38260.00
F.20 1 1 270 5769.122000 657 1869 62 100000000 23646.000 72348.000
B.20 1 1 540 117.982000 81 380 65 100000000 12010.00 104341.000
C.08 1 1 900 303.953000 184 1017 170 100000000 60946.000 410249.000
B.11 1 1 540 286.956000 77 368 60 100000000 13434.000 84542.000
C.10 1 1 900 591.910000 164 1435 179 100000000 61210.00 280287.000
B.06 1 1 540 105.983000 74 365 61 100000000 13139.000 57795.000
F.08 1 1 270 2076.684000 892 2107 32 100000000 17013.000 68790.00
B.07 1 1 540 113.982000 75 396 61 100000000 12284.000 72485.000
E.04 0 1 270 30.995000 701 2457 35 100000000 1958.000 51073.000
C.01 1 1 900 268.959000 160 1027 171 100000000 59494.000 267386.000
B.10 1 1 540 109.983000 74 500 59 100000000 14330.00 64789.000
A.15 1 1 180 20.996000 13 39 5 1321710 1515.000 3193.000
C.19 1 1 900 324.950000 163 1041 167 100000000 72251.000 451946.000
B.02 1 1 540 213.967000 71 359 63 100000000 12402.000 92055.000
E.06 0 1 270 27.995000 670 2587 42 100000000 1966.000 53900.0
E.18 0 1 270 29.995000 492 1399 18 100000000 1792.000 41143.000
C.20 1 1 900 538.918000 171 1044 166 100000000 60248.000 355301.000
F.02 1 1 270 343.947000 795 1830 23 100000000 15369.000 89930.00
F.11 1 1 270 157.975000 764 2233 39 100000000 14472.000 74568.000
F.12 1 1 270 237.963000 711 2362 39 100000000 14770.00 65849.000
E.05 0 1 270 97.985000 697 2010 25 100000000 27478828.000 60671.000
B.16 1 1 540 106.983000 75 398 61 100000000 13018.000 70095.000
A.08 1 1 180 11.998000 13 40 5 2208 1246.000 3735.000
C.14 1 1 900 688.895000 163 1086 169 100000000 59599.000 258285.000
F.16 1 1 270 220.966000 878 1798 24 100000000 15828.000 69731.000
F.06 1 1 270 1043.841000 675 1989 27 100000000 13260.00 69453.000
A.03 1 1 180 23.996000 11 43 5 22667 1285.000 3684.000
E.19 0 1 270 14.997000 579 1648 17 100000000 1699.000 31441.000
C.15 1 1 900 277.957000 163 1246 166 100000000 59152.000 408090.00
A.16 1 1 180 21.996000 13 45 6 584137 1276.000 3723.000
B.14 1 1 540 188.971000 72 375 64 100000000 12205.000 128921.000
A.02 1 1 180 14.997000 13 40 7 916 1247.000 2771.000
F.14 1 1 270 180.972000 624 1462 34 100000000 13870.00 62415.000
F.05 1 1 270 284.956000 711 1644 23 100000000 14093.000 78007.000
B.09 1 1 540 197.969000 71 379 62 100000000 12360.00 80908.000
A.01 1 1 180 9.998000 13 44 5 1808 1308.000 2721.000
C.05 1 1 900 299.954000 164 1400 166 100000000 58923.000 414599.000
B.01 1 1 540 106.983000 75 431 92 100000000 12856.000 61171.000
A.09 1 1 180 11.998000 13 37 5 68382 1319.000 3202.000
A.07 1 1 180 12.998000 14 34 5 3059 1286.000 2921.000
F.03 1 1 270 173.973000 638 1563 22 100000000 14389.000 75113.000
E.12 0 1 270 117.982000 730 1928 21 100000000 2768.000 51704.000
C.06 1 1 900 427.934000 163 1331 255 100000000 65928.000 434592.000
C.09 1 1 900 289.955000 161 1078 239 100000000 60966.000 440969.000
B.17 1 1 540 102.984000 75 378 62 100000000 12624.000 73096.000
C.07 1 1 900 524.920000 161 1183 171 100000000 61736.000 492767.000
E.09 0 1 270 126.980000 769 1824 20 100000000 2113.000 55079.000
E.17 0 1 270 10.998000 535 1734 21 100000000 18404.000 58261.000
C.11 1 1 900 614.906000 165 1052 167 100000000 60456.000 869704.000
F.10 0 1 270 5.999000 802 2595 38 100000000 2012.000 53144.000
A.17 1 1 180 22.996000 12 41 5 15201 1232.000 2782.000
B.15 1 1 540 108.983000 73 381 60 100000000 12303.000 60588.000
E.03 0 1 270 38.994000 553 2246 36 100000000 1939.000 35085.000
F.19 1 1 270 231.964000 614 1486 26 100000000 13540.00 73916.000
A.12 1 1 180 10.998000 14 40 5 2048 1312.000 2366.000
B.08 1 1 540 103.984000 70 349 59 100000000 12264.000 69193.000
F.17 1 1 270 585.910000 690 2708 41 100000000 14885.000 68473.000
C.04 1 1 900 322.950000 166 1090 168 100000000 57595.000 408518.000
B.19 1 1 540 177.972000 75 365 60 100000000 13367.000 87228.000
C.16 1 1 900 352.946000 158 1023 166 100000000 56656.000 402335.000
C.17 1 1 900 490.925000 161 1012 167 100000000 57811.000 289299.000
E.08 0 1 270 54.991000 536 1854 31 100000000 4024.000 49469.000
F.13 1 1 270 1960.701000 697 1845 31 100000000 15651.000 61518.000
A.20 1 1 180 10.998000 13 37 5 194917 1321.000 4574.000
E.02 0 1 270 9.998000 589 2741 41 100000000 11824.000 52718.000
E.16 0 1 270 23.996000 707 1943 29 100000000 192162.000 53610.00
B.12 1 1 540 194.970000 74 377 62 100000000 11693.000 106246.000
F.09 1 1 270 757.884000 737 1802 26 100000000 14096.000 75851.000
A.10 1 1 180 15.997000 13 48 8 16352 1303.000 2820.00
F.18 1 1 270 273.958000 922 2931 42 100000000 16483.000 80579.000
E.10 1 1 270 155.976000 692 1550 22 100000000 14087.000 59918.000
A.06 1 1 180 30.995000 12 45 5 6467 1236.000 3811.000
E.15 0 1 270 72.988000 684 3808 67 100000000 2424.000 54537.000
E.07 0 1 270 2.999000 593 3357 58 100000000 2116.000 44721.000
E.11 0 1 270 19.996000 441 1530 21 100000000 2318.000 43588.000
B.03 1 1 540 188.971000 77 394 61 100000000 12510.00 66268.000
B.18 1 1 540 234.964000 70 384 81 100000000 12193.000 79231.000
C.03 1 1 900 268.959000 160 1010 166 100000000 55248.000 280634.000
A.18 1 1 180 14.997000 13 40 5 2588 1294.000 3758.000
F.15 1 1 270 172.973000 572 1958 35 100000000 13263.000 66531.000
A.19 1 1 180 18.997000 13 53 5 659 1313.000 3901.000
C.12 1 1 900 335.948000 172 998 173 100000000 47482.000 610992.000
B.05 1 1 540 254.961000 74 359 61 100000000 12242.000 140147.000
A.13 1 1 180 12.998000 12 37 7 9403 1297.000 2983.000
