instance sat lad vbbjdpd vbbjdpdnosup vb ttvbbjdpd32g vf2 snd
F.04 1 388.940000 2436 39 2526 704 100000000 74472.000
C.18 1 492.925000 1188 166 1000 162 100000000 307086.000
A.04 1 12.998000 44 5 43 14 58 2788.000
C.02 1 279.957000 1078 172 1260 162 100000000 377954.000
E.01 0 69.989000 2750 41 2400 731 100000000 38260.00
F.20 1 5769.122000 1869 62 1734 657 100000000 72348.000
B.20 1 117.982000 380 65 353 81 100000000 104341.000
C.08 1 303.953000 1017 170 1009 184 100000000 410249.000
B.11 1 286.956000 368 60 423 77 100000000 84542.000
C.10 1 591.910000 1435 179 1031 164 100000000 280287.000
B.06 1 105.983000 365 61 344 74 100000000 57795.000
F.08 1 2076.684000 2107 32 1993 892 100000000 68790.00
B.07 1 113.982000 396 61 446 75 100000000 72485.000
E.04 0 30.995000 2457 35 2239 701 100000000 51073.000
C.01 1 268.959000 1027 171 904 160 100000000 267386.000
B.10 1 109.983000 500 59 348 74 100000000 64789.000
A.15 1 20.996000 39 5 33 13 1321710 3193.000
C.19 1 324.950000 1041 167 914 163 100000000 451946.000
B.02 1 213.967000 359 63 494 71 100000000 92055.000
E.06 0 27.995000 2587 42 2338 670 100000000 53900.0
E.18 0 29.995000 1399 18 1537 492 100000000 41143.000
C.20 1 538.918000 1044 166 921 171 100000000 355301.000
F.02 1 343.947000 1830 23 1877 795 100000000 89930.00
F.11 1 157.975000 2233 39 2110 764 100000000 74568.000
F.12 1 237.963000 2362 39 2170 711 100000000 65849.000
E.05 0 97.985000 2010 25 1862 697 100000000 60671.000
B.16 1 106.983000 398 61 349 75 100000000 70095.000
A.08 1 11.998000 40 5 33 13 2208 3735.000
C.14 1 688.895000 1086 169 1071 163 100000000 258285.000
F.16 1 220.966000 1798 24 1708 878 100000000 69731.000
F.06 1 1043.841000 1989 27 1661 675 100000000 69453.000
A.03 1 23.996000 43 5 65 11 22667 3684.000
E.19 0 14.997000 1648 17 1440 579 100000000 31441.000
C.15 1 277.957000 1246 166 981 163 100000000 408090.00
A.16 1 21.996000 45 6 47 13 584137 3723.000
