instance sat family size gpgnode/vbbjdpd flint/vbbjdpdfad gpgnode/vbbjdpdnocad
F.04 1 1 300 278 273 11639
C.18 1 1 1000 901 901 901
A.04 1 1 200 181 181 181
C.02 1 1 1000 901 901 901
E.01 0 1 300 0 0 0
F.20 1 1 300 559 314 189412425
B.20 1 1 600 541 541 541
C.08 1 1 1000 901 901 901
B.11 1 1 600 541 541 541
C.10 1 1 1000 901 901 901
B.06 1 1 600 541 541 541
F.08 1 1 300 334 276 496863411
B.07 1 1 600 541 541 541
E.04 0 1 300 0 0 0
C.01 1 1 1000 901 901 901
B.10 1 1 600 541 541 541
A.15 1 1 200 181 181 181
C.19 1 1 1000 901 901 901
B.02 1 1 600 541 541 541
E.06 0 1 300 0 0 0
E.18 0 1 300 0 0 0
C.20 1 1 1000 901 901 901
F.02 1 1 300 271 271 271
F.11 1 1 300 271 271 271
F.12 1 1 300 271 271 271
E.05 0 1 300 0 0 0
B.16 1 1 600 541 541 541
A.08 1 1 200 181 181 181
C.14 1 1 1000 901 901 901
F.16 1 1 300 271 271 273
F.06 1 1 300 281 272 222646
A.03 1 1 200 181 181 181
E.19 0 1 300 0 0 0
C.15 1 1 1000 901 901 901
A.16 1 1 200 181 181 181
B.14 1 1 600 541 541 541
A.02 1 1 200 181 181 181
F.14 1 1 300 271 271 271
F.05 1 1 300 271 271 271
B.09 1 1 600 541 541 541
A.01 1 1 200 181 181 181
C.05 1 1 1000 901 901 901
B.01 1 1 600 541 541 541
A.09 1 1 200 181 181 181
A.07 1 1 200 181 181 181
F.03 1 1 300 271 271 271
E.12 0 1 300 0 0 0
C.06 1 1 1000 901 901 901
C.09 1 1 1000 901 901 901
B.17 1 1 600 541 541 541
C.07 1 1 1000 901 901 901
E.09 0 1 300 0 0 0
E.17 0 1 300 0 0 0
C.11 1 1 1000 901 901 901
F.10 0 1 300 0 0 0
A.17 1 1 200 181 181 181
B.15 1 1 600 541 541 541
E.03 0 1 300 0 0 0
F.19 1 1 300 273 271 508
A.12 1 1 200 181 181 181
B.08 1 1 600 541 541 541
F.17 1 1 300 271 271 6013
C.04 1 1 1000 901 901 901
B.19 1 1 600 541 541 541
C.16 1 1 1000 901 901 901
C.17 1 1 1000 901 901 901
E.08 0 1 300 0 0 0
F.13 1 1 300 346 304 27497025
A.20 1 1 200 181 181 181
E.02 0 1 300 0 0 0
E.16 0 1 300 0 0 0
B.12 1 1 600 541 541 541
F.09 1 1 300 287 276 1303
A.10 1 1 200 181 181 181
F.18 1 1 300 271 271 271
E.10 1 1 300 271 271 271
A.06 1 1 200 181 181 181
E.15 0 1 300 0 0 0
E.07 0 1 300 0 0 0
E.11 0 1 300 0 0 0
B.03 1 1 600 541 541 541
B.18 1 1 600 541 541 541
C.03 1 1 1000 901 901 901
A.18 1 1 200 181 181 181
F.15 1 1 300 271 271 271
A.19 1 1 200 181 181 181
C.12 1 1 1000 901 901 901
B.05 1 1 600 541 541 541
A.13 1 1 200 181 181 181
A.05 1 1 200 181 181 181
F.01 1 1 300 271 271 271
E.20 0 1 300 0 0 0
B.13 1 1 600 541 541 541
A.14 1 1 200 181 181 181
B.04 1 1 600 541 541 541
C.13 1 1 1000 901 901 901
F.07 1 1 300 271 271 373
E.13 0 1 300 0 0 0
E.14 0 1 300 0 0 0
A.11 1 1 200 181 181 181
si6-r005-m400.07 1 7 400 11071 9973 29521
si6-r005-m400.00 1 7 400 4167 3262 19054
si6-r005-m400.01 1 7 400 4135 3404 32422
si6-r005-m400.02 1 7 400 2639 2478 9970
si6-r005-m400.04 1 7 400 2755 2017 21711
