instance sat family size vbbjdpd ttvbbjdpd32j ttvbbjdpd32g
F.04 1 1 300 2436 677 704
C.18 1 1 1000 1188 165 162
A.04 1 1 200 44 15 14
C.02 1 1 1000 1078 163 162
E.01 0 1 300 2750 730 731
F.20 1 1 300 1869 674 657
B.20 1 1 600 380 74 81
C.08 1 1 1000 1017 168 184
B.11 1 1 600 368 73 77
C.10 1 1 1000 1435 170 164
B.06 1 1 600 365 75 74
F.08 1 1 300 2107 887 892
B.07 1 1 600 396 80 75
E.04 0 1 300 2457 738 701
C.01 1 1 1000 1027 171 160
B.10 1 1 600 500 76 74
A.15 1 1 200 39 13 13
C.19 1 1 1000 1041 163 163
B.02 1 1 600 359 73 71
E.06 0 1 300 2587 665 670
E.18 0 1 300 1399 513 492
C.20 1 1 1000 1044 160 171
F.02 1 1 300 1830 829 795
F.11 1 1 300 2233 758 764
F.12 1 1 300 2362 741 711
E.05 0 1 300 2010 677 697
B.16 1 1 600 398 73 75
A.08 1 1 200 40 14 13
C.14 1 1 1000 1086 164 163
F.16 1 1 300 1798 796 878
F.06 1 1 300 1989 662 675
A.03 1 1 200 43 14 11
E.19 0 1 300 1648 552 579
C.15 1 1 1000 1246 165 163
A.16 1 1 200 45 14 13
B.14 1 1 600 375 71 72
A.02 1 1 200 40 14 13
F.14 1 1 300 1462 607 624
F.05 1 1 300 1644 714 711
B.09 1 1 600 379 76 71
A.01 1 1 200 44 15 13
C.05 1 1 1000 1400 163 164
B.01 1 1 600 431 73 75
A.09 1 1 200 37 13 13
A.07 1 1 200 34 13 14
F.03 1 1 300 1563 629 638
E.12 0 1 300 1928 719 730
C.06 1 1 1000 1331 157 163
C.09 1 1 1000 1078 163 161
B.17 1 1 600 378 75 75
C.07 1 1 1000 1183 169 161
E.09 0 1 300 1824 723 769
E.17 0 1 300 1734 553 535
C.11 1 1 1000 1052 161 165
F.10 0 1 300 2595 795 802
A.17 1 1 200 41 14 12
B.15 1 1 600 381 74 73
E.03 0 1 300 2246 544 553
F.19 1 1 300 1486 585 614
A.12 1 1 200 40 13 14
B.08 1 1 600 349 70 70
F.17 1 1 300 2708 686 690
C.04 1 1 1000 1090 165 166
B.19 1 1 600 365 75 75
C.16 1 1 1000 1023 160 158
C.17 1 1 1000 1012 155 161
E.08 0 1 300 1854 562 536
F.13 1 1 300 1845 692 697
A.20 1 1 200 37 13 13
E.02 0 1 300 2741 605 589
E.16 0 1 300 1943 687 707
B.12 1 1 600 377 74 74
F.09 1 1 300 1802 714 737
A.10 1 1 200 48 14 13
F.18 1 1 300 2931 909 922
E.10 1 1 300 1550 705 692
A.06 1 1 200 45 12 12
E.15 0 1 300 3808 668 684
E.07 0 1 300 3357 590 593
E.11 0 1 300 1530 420 441
B.03 1 1 600 394 75 77
B.18 1 1 600 384 77 70
C.03 1 1 1000 1010 160 160
A.18 1 1 200 40 13 13
F.15 1 1 300 1958 553 572
A.19 1 1 200 53 13 13
C.12 1 1 1000 998 163 172
B.05 1 1 600 359 75 74
A.13 1 1 200 37 13 12
A.05 1 1 200 41 14 12
F.01 1 1 300 2078 555 550
E.20 0 1 300 3269 645 672
B.13 1 1 600 351 73 76
A.14 1 1 200 46 13 14
B.04 1 1 600 372 76 76
C.13 1 1 1000 1215 165 163
F.07 1 1 300 1534 611 594
E.13 0 1 300 2828 803 782
E.14 0 1 300 1746 533 542
A.11 1 1 200 39 14 12
si6-r005-m400.07 1 7 400 2866 355 304
si6-r005-m400.00 1 7 400 2954 304 382
si6-r005-m400.01 1 7 400 2899 303 264
si6-r005-m400.02 1 7 400 2354 269 302
si6-r005-m400.04 1 7 400 2385 258 288
si6-r005-m400.05 1 7 400 4054 730 503
si6-r005-m400.09 1 7 400 2113 244 237
si6-r005-m400.03 1 7 400 2866 449 386
si6-r005-m400.06 1 7 400 2280 271 256
si6-r005-m400.08 1 7 400 2981 444 459
si6-m4Dr6-m625.04 1 6 625 308 54 50
si6-m4Dr6-m625.01 1 6 625 528 62 59
si6-m4Dr6-m625.09 1 6 625 572 59 56
si6-m4Dr6-m625.07 1 6 625 395 60 56
si6-m4Dr6-m625.00 1 6 625 209 51 50
si6-m4Dr6-m625.08 1 6 625 241 54 51
si6-m4Dr6-m625.05 1 6 625 403 61 59
si6-m4Dr6-m625.06 1 6 625 208 55 51
si6-m4Dr6-m625.02 1 6 625 243 53 50
si6-m4Dr6-m625.03 1 6 625 341 58 59
si4-m4Dr2-m625.09 1 6 625 234 45 42
si4-m4Dr2-m625.04 1 6 625 182 38 36
si4-m4Dr2-m625.02 1 6 625 249 42 43
si4-m4Dr2-m625.07 1 6 625 179 43 42
si4-m4Dr2-m625.00 1 6 625 198 42 41
si4-m4Dr2-m625.08 1 6 625 218 44 44
si4-m4Dr2-m625.01 1 6 625 217 44 42
si4-m4Dr2-m625.06 1 6 625 304 44 42
si4-m4Dr2-m625.03 1 6 625 240 44 44
si4-m4Dr2-m625.05 1 6 625 245 43 48
si2-r001-m600.00 1 7 600 179 135 108
si2-r001-m600.06 1 7 600 583 133 145
si2-r001-m600.04 1 7 600 327 317 281
si2-r001-m600.07 1 7 600 914 170 158
si2-r001-m600.02 1 7 600 189 134 100
si2-r001-m600.08 1 7 600 385 427 520
si2-r001-m600.03 1 7 600 225 180 201
si2-r001-m600.01 1 7 600 175 104 76
si2-r001-m600.05 1 7 600 178 228 266
si2-r001-m600.09 1 7 600 415 229 168
si2-m4Dr2-m256.09 1 6 256 17 14 15
si2-m4Dr2-m256.03 1 6 256 18 13 14
si2-m4Dr2-m256.04 1 6 256 30 13 15
si2-m4Dr2-m256.07 1 6 256 11 10 11
si2-m4Dr2-m256.00 1 6 256 14 11 11
si2-m4Dr2-m256.06 1 6 256 17 13 20
