instance sat family pattern-v pattern-e target-v target-e
F.04 1 1 270 5359 300 6656
C.18 1 1 900 2424 1000 2976
A.04 1 1 180 496 200 611
C.02 1 1 900 2463 1000 3032
E.01 0 1 270 5666 300 6752
F.20 1 1 270 5186 300 6568
B.20 1 1 540 1455 600 1796
C.08 1 1 900 2461 1000 3006
B.11 1 1 540 1466 600 1804
C.10 1 1 900 2435 1000 3032
B.06 1 1 540 1475 600 1808
F.08 1 1 270 5778 300 7137
B.07 1 1 540 1468 600 1816
E.04 0 1 270 5510 300 6621
C.01 1 1 900 2451 1000 3000
B.10 1 1 540 1484 600 1814
A.15 1 1 180 479 200 596
C.19 1 1 900 2453 1000 3020
B.02 1 1 540 1470 600 1815
E.06 0 1 270 5485 300 6641
E.18 0 1 270 5130 300 6283
C.20 1 1 900 2478 1000 3024
F.02 1 1 270 5768 300 6941
F.11 1 1 270 5978 300 6836
F.12 1 1 270 5782 300 6777
E.05 0 1 270 5067 300 6829
B.16 1 1 540 1466 600 1811
A.08 1 1 180 491 200 597
C.14 1 1 900 2443 1000 3022
F.16 1 1 270 5900 300 6996
F.06 1 1 270 5147 300 6538
A.03 1 1 180 503 200 609
E.19 0 1 270 5124 300 6079
C.15 1 1 900 2434 1000 2994
A.16 1 1 180 486 200 610
B.14 1 1 540 1466 600 1810
A.02 1 1 180 491 200 601
F.14 1 1 270 5391 300 6397
F.05 1 1 270 5510 300 6578
B.09 1 1 540 1448 600 1805
A.01 1 1 180 497 200 612
C.05 1 1 900 2459 1000 3000
B.01 1 1 540 1457 600 1796
A.09 1 1 180 483 200 596
A.07 1 1 180 488 200 592
F.03 1 1 270 5490 300 6391
E.12 0 1 270 5480 300 6891
C.06 1 1 900 2434 1000 3004
C.09 1 1 900 2445 1000 2985
B.17 1 1 540 1456 600 1811
C.07 1 1 900 2467 1000 3043
E.09 0 1 270 5536 300 6758
E.17 0 1 270 4990 300 6521
C.11 1 1 900 2460 1000 3021
F.10 0 1 270 5874 300 6935
A.17 1 1 180 488 200 602
B.15 1 1 540 1475 600 1813
E.03 0 1 270 5176 300 6207
F.19 1 1 270 5391 300 6435
A.12 1 1 180 487 200 600
B.08 1 1 540 1459 600 1791
F.17 1 1 270 5413 300 6481
C.04 1 1 900 2475 1000 3048
B.19 1 1 540 1483 600 1811
C.16 1 1 900 2463 1000 3015
C.17 1 1 900 2427 1000 2989
E.08 0 1 270 4996 300 6394
F.13 1 1 270 5251 300 6643
A.20 1 1 180 485 200 597
E.02 0 1 270 5089 300 6581
E.16 0 1 270 5288 300 6803
B.12 1 1 540 1454 600 1800
F.09 1 1 270 5515 300 6758
A.10 1 1 180 493 200 612
F.18 1 1 270 5963 300 7148
E.10 1 1 270 5525 300 6518
A.06 1 1 180 483 200 604
E.15 0 1 270 5504 300 6657
E.07 0 1 270 5388 300 6563
E.11 0 1 270 4843 300 6126
B.03 1 1 540 1471 600 1817
B.18 1 1 540 1465 600 1801
C.03 1 1 900 2440 1000 2991
A.18 1 1 180 493 200 608
F.15 1 1 270 5192 300 6224
A.19 1 1 180 478 200 597
C.12 1 1 900 2435 1000 2995
B.05 1 1 540 1476 600 1805
A.13 1 1 180 484 200 595
A.05 1 1 180 491 200 604
F.01 1 1 270 5184 300 6179
E.20 0 1 270 5534 300 6596
B.13 1 1 540 1461 600 1796
A.14 1 1 180 497 200 617
B.04 1 1 540 1448 600 1794
C.13 1 1 900 2464 1000 3044
F.07 1 1 270 5257 300 6377
E.13 0 1 270 5808 300 7104
E.14 0 1 270 5001 300 6524
A.11 1 1 180 489 200 599
si6-r005-m400.07 1 7 240 2802 400 7781
si6-r005-m400.00 1 7 240 2776 400 7762
si6-r005-m400.01 1 7 240 2812 400 7792
si6-r005-m400.02 1 7 240 2850 400 7767
si6-r005-m400.04 1 7 240 2780 400 7810
si6-r005-m400.05 1 7 240 2731 400 7775
si6-r005-m400.09 1 7 240 2838 400 7808
si6-r005-m400.03 1 7 240 2795 400 7800
si6-r005-m400.06 1 7 240 2864 400 7802
si6-r005-m400.08 1 7 240 2829 400 7794
si6-m4Dr6-m625.04 1 6 375 976 625 2074
si6-m4Dr6-m625.01 1 6 375 1054 625 2074
si6-m4Dr6-m625.09 1 6 375 978 625 2074
si6-m4Dr6-m625.07 1 6 375 996 625 2073
si6-m4Dr6-m625.00 1 6 375 976 625 2073
si6-m4Dr6-m625.08 1 6 375 893 625 2074
si6-m4Dr6-m625.05 1 6 375 998 625 2073
si6-m4Dr6-m625.06 1 6 375 1019 625 2074
si6-m4Dr6-m625.02 1 6 375 951 625 2073
si6-m4Dr6-m625.03 1 6 375 1003 625 2073
si4-m4Dr2-m625.09 1 6 250 506 625 1824
si4-m4Dr2-m625.04 1 6 250 508 625 1825
si4-m4Dr2-m625.02 1 6 250 553 625 1823
si4-m4Dr2-m625.07 1 6 250 587 625 1825
si4-m4Dr2-m625.00 1 6 250 539 625 1825
si4-m4Dr2-m625.08 1 6 250 542 625 1825
si4-m4Dr2-m625.01 1 6 250 549 625 1825
si4-m4Dr2-m625.06 1 6 250 533 625 1825
si4-m4Dr2-m625.03 1 6 250 527 625 1825
si4-m4Dr2-m625.05 1 6 250 518 625 1824
si2-r001-m600.00 1 7 120 220 600 3626
si2-r001-m600.06 1 7 120 185 600 3626
si2-r001-m600.04 1 7 120 223 600 3640
si2-r001-m600.07 1 7 120 210 600 3618
si2-r001-m600.02 1 7 120 217 600 3615
si2-r001-m600.08 1 7 120 199 600 3617
si2-r001-m600.03 1 7 120 193 600 3622
si2-r001-m600.01 1 7 120 211 600 3626
si2-r001-m600.05 1 7 120 217 600 3621
si2-r001-m600.09 1 7 120 213 600 3627
si2-m4Dr2-m256.09 1 6 51 96 256 723
si2-m4Dr2-m256.03 1 6 51 84 256 722
si2-m4Dr2-m256.04 1 6 51 100 256 723
si2-m4Dr2-m256.07 1 6 51 83 256 722
si2-m4Dr2-m256.00 1 6 51 91 256 723
si2-m4Dr2-m256.06 1 6 51 84 256 723
si2-m4Dr2-m256.08 1 6 51 88 256 723
si2-m4Dr2-m256.05 1 6 51 100 256 723
si2-m4Dr2-m256.01 1 6 51 86 256 722
si2-m4Dr2-m256.02 1 6 51 93 256 723
si6-r001-m600.09 1 7 360 1300 600 3625
si6-r001-m600.00 1 7 360 1298 600 3625
si6-r001-m600.07 1 7 360 1329 600 3629
si6-r001-m600.03 1 7 360 1335 600 3614
si6-r001-m600.01 1 7 360 1329 600 3619
si6-r001-m600.06 1 7 360 1334 600 3609
si6-r001-m600.08 1 7 360 1326 600 3630
si6-r001-m600.02 1 7 360 1331 600 3632
si6-r001-m600.04 1 7 360 1313 600 3623
si6-r001-m600.05 1 7 360 1349 600 3630
si2-m4Dr2-m1296.05 1 6 259 506 1296 3859
si2-m4Dr2-m1296.09 1 6 259 485 1296 3859
si2-m4Dr2-m1296.02 1 6 259 442 1296 3859
si2-m4Dr2-m1296.07 1 6 259 502 1296 3858
si2-m4Dr2-m1296.00 1 6 259 516 1296 3859
si2-m4Dr2-m1296.06 1 6 259 459 1296 3859
si2-m4Dr2-m1296.08 1 6 259 452 1296 3859
si2-m4Dr2-m1296.01 1 6 259 477 1296 3857
si2-m4Dr2-m1296.03 1 6 259 483 1296 3859
si2-m4Dr2-m1296.04 1 6 259 526 1296 3859
si4-b06m-m800.08 1 4 320 696 800 2398
si4-b06m-m800.00 1 4 320 720 800 2400
si4-b06m-m800.06 1 4 320 734 800 2398
si4-b06m-m800.05 1 4 320 738 800 2398
si4-b06m-m800.04 1 4 320 724 800 2400
si4-b06m-m800.09 1 4 320 710 800 2399
si4-b06m-m800.01 1 4 320 721 800 2398
si4-b06m-m800.07 1 4 320 691 800 2397
si4-b06m-m800.03 1 4 320 669 800 2399
si4-b06m-m800.02 1 4 320 714 800 2400
si6-m4Dr2-m625.08 1 6 375 894 625 1824
si6-m4Dr2-m625.09 1 6 375 847 625 1825
si6-m4Dr2-m625.05 1 6 375 856 625 1824
si6-m4Dr2-m625.01 1 6 375 1000 625 1824
si6-m4Dr2-m625.06 1 6 375 924 625 1825
si6-m4Dr2-m625.00 1 6 375 853 625 1825
si6-m4Dr2-m625.03 1 6 375 930 625 1825
si6-m4Dr2-m625.02 1 6 375 881 625 1824
si6-m4Dr2-m625.07 1 6 375 915 625 1823
si6-m4Dr2-m625.04 1 6 375 906 625 1825
si2-m4D-m1296.01 1 5 259 544 1296 3600
si2-m4D-m1296.08 1 5 259 664 1296 3600
si2-m4D-m1296.06 1 5 259 540 1296 3600
si2-m4D-m1296.05 1 5 259 694 1296 3600
si2-m4D-m1296.09 1 5 259 672 1296 3600
si2-m4D-m1296.03 1 5 259 540 1296 3600
si2-m4D-m1296.07 1 5 259 648 1296 3600
si2-m4D-m1296.02 1 5 259 671 1296 3600
si2-m4D-m1296.04 1 5 259 674 1296 3600
si2-m4D-m1296.00 1 5 259 687 1296 3600
si4-b03-m800.05 1 3 320 477 800 1200
si4-b03-m800.00 1 3 320 477 800 1200
si4-b03-m800.08 1 3 320 477 800 1200
si4-b03-m800.09 1 3 320 477 800 1200
si4-b03-m800.03 1 3 320 477 800 1200
si4-b03-m800.02 1 3 320 477 800 1200
si4-b03-m800.04 1 3 320 477 800 1200
si4-b03-m800.01 1 3 320 477 800 1200
si4-b03-m800.06 1 3 320 477 800 1200
si4-b03-m800.07 1 3 320 477 800 1200
si6-m4D-m1296.02 1 5 777 2050 1296 3600
si6-m4D-m1296.07 1 5 777 1425 1296 3600
si6-m4D-m1296.05 1 5 777 2058 1296 3600
si6-m4D-m1296.09 1 5 777 1477 1296 3600
si6-m4D-m1296.00 1 5 777 1508 1296 3600
si6-m4D-m1296.08 1 5 777 2048 1296 3600
si6-m4D-m1296.04 1 5 777 2024 1296 3600
si6-m4D-m1296.06 1 5 777 1359 1296 3600
si6-m4D-m1296.01 1 5 777 1464 1296 3600
si6-m4D-m1296.03 1 5 777 1424 1296 3600
si6-r001-m200.05 1 7 120 188 200 451
si6-r001-m200.09 1 7 120 191 200 448
si6-r001-m200.07 1 7 120 212 200 442
si6-r001-m200.02 1 7 120 206 200 447
si6-r001-m200.01 1 7 120 199 200 444
si6-r001-m200.00 1 7 120 212 200 440
si6-r001-m200.04 1 7 120 199 200 438
si6-r001-m200.06 1 7 120 211 200 450
si6-r001-m200.08 1 7 120 199 200 440
si6-r001-m200.03 1 7 120 193 200 445
si4-b06-m400.06 1 3 160 474 400 1200
si4-b06-m400.07 1 3 160 474 400 1200
si4-b06-m400.09 1 3 160 474 400 1200
si4-b06-m400.01 1 3 160 474 400 1200
si4-b06-m400.04 1 3 160 474 400 1200
si4-b06-m400.03 1 3 160 474 400 1200
si4-b06-m400.00 1 3 160 474 400 1200
si4-b06-m400.05 1 3 160 474 400 1200
si4-b06-m400.08 1 3 160 474 400 1200
si4-b06-m400.02 1 3 160 474 400 1200
si2-m4Dr6-m256.06 1 6 51 86 256 823
si2-m4Dr6-m256.05 1 6 51 82 256 823
si2-m4Dr6-m256.09 1 6 51 78 256 821
si2-m4Dr6-m256.00 1 6 51 87 256 824
si2-m4Dr6-m256.07 1 6 51 77 256 824
si2-m4Dr6-m256.04 1 6 51 87 256 822
