instance family sat sequential no-backjumping no-all-diff no-supplementals full-all-diff threaded
F.04 1 1 278 278 11639 278 273 280
C.18 1 1 901 901 901 901 901 901
A.04 1 1 181 181 181 181 181 181
C.02 1 1 901 901 901 902 901 901
E.01 1 0 0 0 0 0 0 0
F.20 1 1 559 559 189412425 559 314 1200
B.20 1 1 541 541 541 541 541 541
C.08 1 1 901 901 901 901 901 901
B.11 1 1 541 541 541 541 541 541
C.10 1 1 901 901 901 903 901 901
B.06 1 1 541 541 541 541 541 541
F.08 1 1 334 334 496863411 334 276 388
B.07 1 1 541 541 541 541 541 541
E.04 1 0 0 0 0 0 0 0
C.01 1 1 901 901 901 901 901 901
B.10 1 1 541 541 541 541 541 541
A.15 1 1 181 181 181 181 181 181
C.19 1 1 901 901 901 901 901 901
B.02 1 1 541 541 541 542 541 541
E.06 1 0 0 0 0 0 0 0
E.18 1 0 0 0 0 0 0 0
C.20 1 1 901 901 901 901 901 901
F.02 1 1 271 271 271 271 271 271
F.11 1 1 271 271 271 271 271 271
F.12 1 1 271 271 271 271 271 271
E.05 1 0 0 0 0 0 0 0
B.16 1 1 541 541 541 541 541 541
A.08 1 1 181 181 181 181 181 181
C.14 1 1 901 901 901 901 901 901
F.16 1 1 271 271 273 271 271 271
F.06 1 1 281 281 222646 281 272 286
A.03 1 1 181 181 181 183 181 181
E.19 1 0 0 0 0 0 0 0
C.15 1 1 901 901 901 901 901 901
A.16 1 1 181 181 181 184 181 181
B.14 1 1 541 541 541 542 541 541
A.02 1 1 181 181 181 181 181 181
F.14 1 1 271 271 271 271 271 271
F.05 1 1 271 271 271 271 271 271
B.09 1 1 541 541 541 542 541 541
A.01 1 1 181 181 181 182 181 181
C.05 1 1 901 901 901 902 901 901
B.01 1 1 541 541 541 541 541 541
A.09 1 1 181 181 181 181 181 181
A.07 1 1 181 181 181 182 181 181
F.03 1 1 271 271 271 271 271 271
E.12 1 0 0 0 0 0 0 0
C.06 1 1 901 901 901 901 901 901
C.09 1 1 901 901 901 901 901 901
B.17 1 1 541 541 541 560 541 541
C.07 1 1 901 901 901 901 901 901
E.09 1 0 0 0 0 0 0 0
E.17 1 0 0 0 0 0 0 0
C.11 1 1 901 901 901 901 901 901
F.10 1 0 0 0 0 0 0 0
A.17 1 1 181 181 181 185 181 181
B.15 1 1 541 541 541 541 541 541
E.03 1 0 0 0 0 0 0 0
F.19 1 1 273 273 508 273 271 273
A.12 1 1 181 181 181 181 181 181
B.08 1 1 541 541 541 541 541 541
F.17 1 1 271 271 6013 271 271 276
C.04 1 1 901 901 901 902 901 901
B.19 1 1 541 541 541 541 541 541
C.16 1 1 901 901 901 901 901 901
C.17 1 1 901 901 901 901 901 901
E.08 1 0 0 0 0 0 0 0
F.13 1 1 346 346 27497025 346 304 382
A.20 1 1 181 181 181 181 181 181
E.02 1 0 0 0 0 0 0 0
E.16 1 0 0 0 0 0 0 0
B.12 1 1 541 541 541 547 541 541
F.09 1 1 287 287 1303 287 276 302
A.10 1 1 181 181 181 184 181 181
F.18 1 1 271 271 271 271 271 271
E.10 1 1 271 271 271 271 271 271
A.06 1 1 181 181 181 190 181 181
E.15 1 0 0 0 0 0 0 0
E.07 1 0 0 0 0 0 0 0
E.11 1 0 0 0 0 0 0 0
B.03 1 1 541 541 541 541 541 541
B.18 1 1 541 541 541 541 541 541
C.03 1 1 901 901 901 901 901 901
A.18 1 1 181 181 181 187 181 181
F.15 1 1 271 271 271 271 271 271
A.19 1 1 181 181 181 181 181 181
C.12 1 1 901 901 901 901 901 901
B.05 1 1 541 541 541 541 541 541
A.13 1 1 181 181 181 181 181 181
A.05 1 1 181 181 181 184 181 181
F.01 1 1 271 271 271 271 271 271
E.20 1 0 0 0 0 0 0 0
B.13 1 1 541 541 541 541 541 541
A.14 1 1 181 181 181 193 181 181
B.04 1 1 541 541 541 541 541 541
C.13 1 1 901 901 901 902 901 901
F.07 1 1 271 271 373 271 271 271
E.13 1 0 0 0 0 0 0 0
E.14 1 0 0 0 0 0 0 0
A.11 1 1 181 181 181 181 181 181
si6_r005_m400.07 7 1 11071 11071 29521 22768 9973 9166
si6_r005_m400.00 7 1 4167 4167 19054 19007 3262 11086
si6_r005_m400.01 7 1 4135 4136 32422 10467 3404 4522
si6_r005_m400.02 7 1 2639 2639 9970 4550 2478 5299
si6_r005_m400.04 7 1 2755 2755 21711 6812 2017 7580
si6_r005_m400.05 7 1 28408 28490 72267 57111 23623 27343
si6_r005_m400.09 7 1 243 243 351 251 243 2072
si6_r005_m400.03 7 1 6366 6366 57268 9086 5306 8365
si6_r005_m400.06 7 1 1523 1523 7466 2578 1445 3806
si6_r005_m400.08 7 1 11474 11477 39149 20858 10416 10664
si6_m4Dr6_m625.04 6 1 376 376 376 376 376 376
si6_m4Dr6_m625.01 6 1 376 376 376 376 376 376
si6_m4Dr6_m625.09 6 1 376 376 376 376 376 376
si6_m4Dr6_m625.07 6 1 376 376 376 377 376 376
si6_m4Dr6_m625.00 6 1 376 376 376 376 376 376
si6_m4Dr6_m625.08 6 1 376 376 376 394 376 376
si6_m4Dr6_m625.05 6 1 376 376 376 376 376 376
si6_m4Dr6_m625.06 6 1 376 376 376 376 376 376
si6_m4Dr6_m625.02 6 1 376 376 376 376 376 376
si6_m4Dr6_m625.03 6 1 376 376 376 376 376 376
si4_m4Dr2_m625.09 6 1 251 251 251 302 251 251
si4_m4Dr2_m625.04 6 1 251 251 251 302 251 255
si4_m4Dr2_m625.02 6 1 251 251 251 251 251 251
si4_m4Dr2_m625.07 6 1 251 251 251 251 251 251
si4_m4Dr2_m625.00 6 1 251 251 251 251 251 251
si4_m4Dr2_m625.08 6 1 251 251 251 270 251 251
si4_m4Dr2_m625.01 6 1 251 251 251 257 251 251
si4_m4Dr2_m625.06 6 1 251 251 251 252 251 251
si4_m4Dr2_m625.03 6 1 251 251 251 256 251 251
si4_m4Dr2_m625.05 6 1 251 251 251 265 251 251
si2_r001_m600.00 7 1 613 613 666 1e9 613 4648
si2_r001_m600.06 7 1 19949 20506 23718 1e9 19693 4441
si2_r001_m600.04 7 1 3356 3602 5469 502540 3281 4152
si2_r001_m600.07 7 1 35103 35539 41246 1e9 34757 25080
si2_r001_m600.02 7 1 714 714 946 1e9 678 820
si2_r001_m600.08 7 1 10777 11106 12614 1e9 10747 11782
si2_r001_m600.03 7 1 2644 2757 2953 1e9 2628 3606
si2_r001_m600.01 7 1 442 648 539 1e9 444 458
si2_r001_m600.05 7 1 507 509 557 1e9 507 3278
si2_r001_m600.09 7 1 11886 13785 14554 1e9 11406 14674
si2_m4Dr2_m256.09 6 1 53 53 91 3319 52 97
si2_m4Dr2_m256.03 6 1 386 387 3667 1181 338 807
si2_m4Dr2_m256.04 6 1 61 61 67 29497 59 69
si2_m4Dr2_m256.07 6 1 52 52 52 52 52 62
si2_m4Dr2_m256.00 6 1 54 54 56 2416 53 54
si2_m4Dr2_m256.06 6 1 98 98 621 77044 95 1284
si2_m4Dr2_m256.08 6 1 52 52 52 85 52 52
si2_m4Dr2_m256.05 6 1 52 52 52 57 52 52
si2_m4Dr2_m256.01 6 1 67 67 80 12240 67 71
si2_m4Dr2_m256.02 6 1 54 54 56 2459 53 54
si6_r001_m600.09 7 1 361 361 364 406 361 361
si6_r001_m600.00 7 1 374 374 380 39545 374 425
si6_r001_m600.07 7 1 363 363 366 747 363 444
si6_r001_m600.03 7 1 366 366 369 792 365 470
si6_r001_m600.01 7 1 375 375 386 52508 374 379
si6_r001_m600.06 7 1 371 371 374 1939 370 373
si6_r001_m600.08 7 1 373 373 384 21535 368 416
si6_r001_m600.02 7 1 368 368 374 7599 365 392
si6_r001_m600.04 7 1 362 362 366 135091 362 362
si6_r001_m600.05 7 1 366 366 367 621 363 383
si2_m4Dr2_m1296.05 6 1 260 260 260 275 260 260
si2_m4Dr2_m1296.09 6 1 263 263 264 373 262 268
si2_m4Dr2_m1296.02 6 1 274 274 285 125795 273 293
si2_m4Dr2_m1296.07 6 1 260 260 260 262 260 262
si2_m4Dr2_m1296.00 6 1 260 260 260 260 260 260
si2_m4Dr2_m1296.06 6 1 260 260 261 47168 260 260
si2_m4Dr2_m1296.08 6 1 260 260 260 426 260 260
si2_m4Dr2_m1296.01 6 1 301 301 310 3066362 302 437
si2_m4Dr2_m1296.03 6 1 260 260 260 343 260 260
si2_m4Dr2_m1296.04 6 1 260 260 260 260 260 260
si4_b06m_m800.08 4 1 321 321 321 321 321 321
si4_b06m_m800.00 4 1 321 321 321 321 321 321
si4_b06m_m800.06 4 1 321 321 322 321 321 321
si4_b06m_m800.05 4 1 321 321 321 321 321 321
si4_b06m_m800.04 4 1 321 321 321 321 321 321
si4_b06m_m800.09 4 1 321 321 321 321 321 321
si4_b06m_m800.01 4 1 321 321 321 321 321 321
si4_b06m_m800.07 4 1 321 321 321 321 321 321
si4_b06m_m800.03 4 1 321 321 321 321 321 321
si4_b06m_m800.02 4 1 321 321 321 321 321 321
si6_m4Dr2_m625.08 6 1 376 376 376 376 376 376
si6_m4Dr2_m625.09 6 1 376 376 376 376 376 376
si6_m4Dr2_m625.05 6 1 376 376 376 376 376 376
si6_m4Dr2_m625.01 6 1 376 376 376 376 376 376
si6_m4Dr2_m625.06 6 1 376 376 376 376 376 376
